zip,province,building_type,bedroom,construction_Year,price,heating_type,land_surface
1180,Brussels,HOUSE,5,1963,995000,FUELOIL,600
1050,Brussels,HOUSE,6,1922,995000,GAS,225
9940,East Flanders,HOUSE,3,2022,444000,GAS,328
9750,East Flanders,HOUSE,6,1766,1150000,GAS,1577
9620,East Flanders,HOUSE,3,2013,360000,GAS,379
9100,East Flanders,HOUSE,6,1965,729000,FUELOIL,916
9255,East Flanders,HOUSE,7,1967,395000,GAS,441
9320,East Flanders,HOUSE,3,1954,199000,GAS,343
9850,East Flanders,HOUSE,5,1879,1995000,GAS,1717
9700,East Flanders,HOUSE,3,2009,549000,GAS,655
9420,East Flanders,HOUSE,5,1980,739500,FUELOIL,1895
9310,East Flanders,HOUSE,4,1965,410000,GAS,892
9310,East Flanders,HOUSE,3,2006,365000,GAS,253
9790,East Flanders,HOUSE,3,1967,199000,FUELOIL,240
9600,East Flanders,HOUSE,4,1930,219500,GAS,315
9900,East Flanders,HOUSE,3,1990,369000,ELECTRIC,627
9820,East Flanders,HOUSE,3,1960,349500,GAS,253
9690,East Flanders,HOUSE,4,1899,750000,GAS,1470
9971,East Flanders,HOUSE,2,1955,355000,FUELOIL,1426
9880,East Flanders,HOUSE,3,1991,420000,FUELOIL,658
9400,East Flanders,HOUSE,3,1956,199000,PELLET,166
9000,East Flanders,HOUSE,4,1860,2600000,GAS,841
9260,East Flanders,HOUSE,3,1977,359000,FUELOIL,615
9255,East Flanders,HOUSE,3,1986,870000,FUELOIL,1792
9300,East Flanders,HOUSE,6,2021,689000,GAS,494
9190,East Flanders,HOUSE,3,2022,456000,GAS,465
9300,East Flanders,HOUSE,3,1949,315000,GAS,463
9900,East Flanders,HOUSE,3,1931,225000,GAS,166
9940,East Flanders,HOUSE,3,2012,389000,GAS,283
9310,East Flanders,HOUSE,3,1925,464000,FUELOIL,642
9255,East Flanders,HOUSE,4,1951,459000,FUELOIL,363
9550,East Flanders,HOUSE,4,1937,199000,GAS,374
9880,East Flanders,HOUSE,4,2002,649000,GAS,900
9060,East Flanders,HOUSE,4,1957,375000,GAS,276
9290,East Flanders,HOUSE,3,1965,299000,GAS,528
9880,East Flanders,HOUSE,4,1957,295000,GAS,773
9500,East Flanders,HOUSE,3,1932,259000,GAS,590
9880,East Flanders,HOUSE,3,2022,320000,GAS,299
9500,East Flanders,HOUSE,4,1954,230000,FUELOIL,203
9130,East Flanders,HOUSE,3,1950,269000,FUELOIL,373
9100,East Flanders,HOUSE,2,1956,495000,GAS,720
9220,East Flanders,HOUSE,3,1992,359000,GAS,489
9170,East Flanders,HOUSE,3,1964,279000,FUELOIL,356
9971,East Flanders,HOUSE,4,2022,399000,GAS,448
9190,East Flanders,HOUSE,1,1989,125000,ELECTRIC,977
9950,East Flanders,HOUSE,3,1962,160000,GAS,413
9890,East Flanders,HOUSE,2,1965,190000,GAS,179
9000,East Flanders,HOUSE,5,1885,735000,GAS,164
9000,East Flanders,HOUSE,5,1918,269000,GAS,150
9290,East Flanders,HOUSE,3,1964,360000,GAS,810
9300,East Flanders,HOUSE,4,1971,295000,GAS,210
9140,East Flanders,HOUSE,3,1938,199000,ELECTRIC,110
9402,East Flanders,HOUSE,3,1950,429000,FUELOIL,951
9600,East Flanders,HOUSE,3,1925,195000,GAS,68
9320,East Flanders,HOUSE,3,1965,294000,GAS,284
9400,East Flanders,HOUSE,3,1981,259000,GAS,330
9400,East Flanders,HOUSE,3,1962,375000,ELECTRIC,560
9400,East Flanders,HOUSE,5,1961,695000,GAS,1420
9120,East Flanders,HOUSE,3,1968,379000,GAS,273
9900,East Flanders,HOUSE,3,1935,206000,GAS,100
9570,East Flanders,HOUSE,3,1950,179000,GAS,465
9240,East Flanders,HOUSE,4,1971,615000,FUELOIL,867
9620,East Flanders,HOUSE,2,1936,159900,GAS,50
9300,East Flanders,HOUSE,3,1900,339000,GAS,180
9150,East Flanders,HOUSE,3,1961,329000,GAS,417
9280,East Flanders,HOUSE,3,2022,325000,GAS,126
9990,East Flanders,HOUSE,4,1932,239000,GAS,300
9000,East Flanders,HOUSE,3,1938,275000,GAS,158
9300,East Flanders,HOUSE,3,1850,169000,GAS,50
9690,East Flanders,OTHER,3,1850,595000,FUELOIL,11210
9000,East Flanders,HOUSE,2,2009,355000,GAS,1570
9990,East Flanders,HOUSE,2,2017,349000,GAS,300
9660,East Flanders,HOUSE,8,1971,420000,GAS,1418
9000,East Flanders,HOUSE,5,1930,545000,GAS,133
9600,East Flanders,HOUSE,3,1930,249000,GAS,70
9140,East Flanders,HOUSE,2,1986,175000,FUELOIL,295
9910,East Flanders,HOUSE,3,1962,254000,GAS,300
9320,East Flanders,HOUSE,1,1950,269000,GAS,1062
9790,East Flanders,HOUSE,5,1978,625000,FUELOIL,3688
9700,East Flanders,HOUSE,4,1978,395000,FUELOIL,2195
9500,East Flanders,HOUSE,3,1994,694000,GAS,2095
9600,East Flanders,HOUSE,4,1948,225000,GAS,190
9450,East Flanders,HOUSE,3,2021,391500,GAS,266
9000,East Flanders,HOUSE,5,1987,965000,GAS,123
9320,East Flanders,HOUSE,3,1964,335000,FUELOIL,379
9400,East Flanders,HOUSE,3,1937,289000,FUELOIL,1255
9550,East Flanders,HOUSE,4,1930,247000,FUELOIL,220
9280,East Flanders,HOUSE,5,1961,275000,GAS,237
9600,East Flanders,HOUSE,5,1899,295000,GAS,480
9200,East Flanders,HOUSE,3,2023,349000,GAS,180
9500,East Flanders,HOUSE,2,1981,529000,GAS,730
9000,East Flanders,OTHER,3,1897,329000,FUELOIL,200
9200,East Flanders,HOUSE,1,2005,249000,GAS,285
9300,East Flanders,HOUSE,5,1980,280000,GAS,140
9100,East Flanders,HOUSE,3,1936,179000,GAS,95
9860,East Flanders,HOUSE,4,1987,365000,GAS,728
9300,East Flanders,HOUSE,4,1931,265000,GAS,100
9100,East Flanders,HOUSE,4,1955,269000,GAS,68
9040,East Flanders,HOUSE,3,2022,425000,GAS,82
9200,East Flanders,HOUSE,5,1918,410000,GAS,1956
9220,East Flanders,HOUSE,4,1977,1165000,FUELOIL,2653
9150,East Flanders,HOUSE,4,1936,275000,FUELOIL,218
9090,East Flanders,HOUSE,4,1978,650000,GAS,1449
9170,East Flanders,HOUSE,2,1960,700000,GAS,898
9570,East Flanders,HOUSE,4,1970,375000,FUELOIL,654
9170,East Flanders,HOUSE,3,1972,298000,FUELOIL,355
9308,East Flanders,HOUSE,4,1956,315000,GAS,350
9450,East Flanders,HOUSE,3,2021,376500,GAS,201
9910,East Flanders,HOUSE,4,2000,485000,FUELOIL,1505
9300,East Flanders,HOUSE,2,1911,243000,GAS,100
9600,East Flanders,HOUSE,4,1900,249500,FUELOIL,280
9980,East Flanders,HOUSE,3,2009,550000,GAS,600
9140,East Flanders,HOUSE,4,1954,615000,GAS,1452
9400,East Flanders,HOUSE,3,1957,245000,GAS,876
9920,East Flanders,HOUSE,5,1991,530000,GAS,940
9150,East Flanders,HOUSE,3,1958,495000,GAS,798
9320,East Flanders,HOUSE,3,1965,395000,GAS,400
9200,East Flanders,HOUSE,4,1985,619900,GAS,1730
9280,East Flanders,HOUSE,6,1972,785000,GAS,2548
9900,East Flanders,HOUSE,5,1966,339000,FUELOIL,730
9400,East Flanders,HOUSE,18,1990,1050000,ELECTRIC,3240
9080,East Flanders,HOUSE,4,1952,850000,FUELOIL,1660
9620,East Flanders,HOUSE,3,2022,313399,GAS,342
9470,East Flanders,HOUSE,4,1970,320000,GAS,137
9660,East Flanders,OTHER,8,2010,450000,PELLET,3031
9030,East Flanders,HOUSE,5,1979,580000,GAS,696
9620,East Flanders,HOUSE,3,1935,248000,FUELOIL,386
9950,East Flanders,HOUSE,5,1900,289000,GAS,680
9280,East Flanders,HOUSE,3,2019,485000,GAS,230
9200,East Flanders,HOUSE,4,1962,395000,FUELOIL,430
9080,East Flanders,HOUSE,3,1937,419000,GAS,544
9404,East Flanders,HOUSE,2,1960,355000,ELECTRIC,1799
9000,East Flanders,HOUSE,5,1899,299000,GAS,73
9700,East Flanders,HOUSE,5,1988,1395000,GAS,7492
9400,East Flanders,HOUSE,3,1975,362000,GAS,1801
9100,East Flanders,HOUSE,2,1955,189000,GAS,58
9255,East Flanders,HOUSE,4,1980,429000,GAS,502
9690,East Flanders,OTHER,5,2001,545000,GAS,396
9170,East Flanders,HOUSE,4,1964,409000,GAS,1130
9000,East Flanders,HOUSE,4,1865,1850000,GAS,200
9070,East Flanders,HOUSE,5,1977,700000,ELECTRIC,1098
9890,East Flanders,HOUSE,5,1890,524500,GAS,682
9280,East Flanders,HOUSE,7,1868,725000,GAS,5951
9420,East Flanders,HOUSE,5,1992,649000,GAS,1059
9320,East Flanders,HOUSE,3,1961,379000,GAS,420
9880,East Flanders,HOUSE,2,1969,470000,FUELOIL,3115
9790,East Flanders,HOUSE,4,2022,559000,ELECTRIC,721
9700,East Flanders,HOUSE,2,1939,299000,GAS,398
9660,East Flanders,HOUSE,4,1980,325000,FUELOIL,3266
9200,East Flanders,HOUSE,3,1955,275000,GAS,700
9190,East Flanders,HOUSE,4,1989,210000,ELECTRIC,2153
9820,East Flanders,HOUSE,4,1991,1790000,FUELOIL,12402
9000,East Flanders,HOUSE,4,1950,449000,GAS,76
9900,East Flanders,HOUSE,2,1850,212000,GAS,285
9120,East Flanders,HOUSE,3,1971,239000,GAS,309
9420,East Flanders,HOUSE,2,1996,345000,FUELOIL,880
9950,East Flanders,HOUSE,3,1959,150000,FUELOIL,300
9400,East Flanders,HOUSE,3,1990,365000,GAS,1017
9230,East Flanders,HOUSE,4,1965,379000,FUELOIL,1106
9660,East Flanders,HOUSE,5,2022,385000,GAS,375
9620,East Flanders,HOUSE,3,2022,270552,GAS,314
9200,East Flanders,HOUSE,3,1963,269000,GAS,220
9040,East Flanders,HOUSE,2,1950,255000,GAS,71
9450,East Flanders,HOUSE,6,1933,450000,FUELOIL,1169
9052,East Flanders,HOUSE,2,1978,575000,ELECTRIC,1027
9473,East Flanders,HOUSE,5,2022,385000,GAS,258
9320,East Flanders,HOUSE,3,1959,399000,FUELOIL,1039
9950,East Flanders,HOUSE,3,2009,295000,GAS,200
9300,East Flanders,HOUSE,2,1961,349000,GAS,396
9968,East Flanders,HOUSE,5,1870,310000,FUELOIL,1870
9255,East Flanders,HOUSE,3,1958,285000,FUELOIL,275
9920,East Flanders,HOUSE,2,1972,349000,GAS,495
9300,East Flanders,HOUSE,3,1969,249000,GAS,155
9500,East Flanders,HOUSE,4,1965,245000,GAS,590
9900,East Flanders,HOUSE,5,2013,349000,GAS,304
9031,East Flanders,HOUSE,3,2022,475341,GAS,525
9170,East Flanders,HOUSE,3,2014,469000,GAS,352
9990,East Flanders,HOUSE,4,2003,785000,ELECTRIC,1998
9960,East Flanders,HOUSE,5,1966,499000,GAS,952
9190,East Flanders,HOUSE,3,2022,481500,GAS,198
9400,East Flanders,HOUSE,2,1990,310000,ELECTRIC,356
9300,East Flanders,HOUSE,3,2006,398500,GAS,295
9950,East Flanders,HOUSE,3,1930,105000,GAS,293
9470,East Flanders,HOUSE,3,1975,285000,GAS,248
9450,East Flanders,HOUSE,3,1975,299000,GAS,165
9185,East Flanders,HOUSE,3,1992,425000,GAS,846
9100,East Flanders,HOUSE,4,1938,399900,GAS,171
9260,East Flanders,HOUSE,4,1930,275000,GAS,391
9600,East Flanders,HOUSE,2,1959,249000,GAS,468
9660,East Flanders,HOUSE,3,1950,240000,GAS,788
9000,East Flanders,HOUSE,4,2014,450000,GAS,354
9940,East Flanders,HOUSE,4,1967,503000,GAS,953
9280,East Flanders,HOUSE,3,1964,349000,GAS,542
9700,East Flanders,HOUSE,3,2022,295000,GAS,90
9220,East Flanders,HOUSE,4,1964,395000,FUELOIL,1264
9100,East Flanders,HOUSE,4,1955,275000,GAS,272
9100,East Flanders,HOUSE,3,1972,283000,GAS,90
9320,East Flanders,HOUSE,4,1959,299000,GAS,982
9500,East Flanders,HOUSE,2,1969,349000,GAS,761
9260,East Flanders,HOUSE,3,1933,450000,FUELOIL,1017
9860,East Flanders,HOUSE,3,1966,370000,GAS,431
9080,East Flanders,HOUSE,4,1995,349000,ELECTRIC,384
9500,East Flanders,HOUSE,2,1890,250000,GAS,790
9310,East Flanders,HOUSE,4,1965,450000,GAS,940
9660,East Flanders,HOUSE,8,2010,450000,PELLET,3031
9870,East Flanders,HOUSE,3,2005,382750,ELECTRIC,1271
9040,East Flanders,HOUSE,2,2000,545000,GAS,538
9500,East Flanders,HOUSE,2,1875,179000,GAS,50
9250,East Flanders,HOUSE,7,1998,2200000,GAS,4096
9070,East Flanders,HOUSE,3,1937,995000,FUELOIL,10458
9300,East Flanders,HOUSE,7,1970,845000,FUELOIL,1480
9260,East Flanders,HOUSE,3,1972,368850,GAS,603
9500,East Flanders,HOUSE,3,1969,275000,FUELOIL,2020
9506,East Flanders,HOUSE,3,1966,349000,FUELOIL,1715
9150,East Flanders,HOUSE,3,1976,485000,GAS,1084
9130,East Flanders,HOUSE,2,1901,200000,PELLET,86
9570,East Flanders,HOUSE,4,1981,498000,FUELOIL,1194
9920,East Flanders,HOUSE,3,1990,459000,FUELOIL,601
9090,East Flanders,HOUSE,3,1967,625000,GAS,3972
9150,East Flanders,HOUSE,4,1991,469000,FUELOIL,1127
9060,East Flanders,HOUSE,3,1972,315000,GAS,272
9150,East Flanders,HOUSE,2,1938,269000,GAS,400
9990,East Flanders,HOUSE,4,1965,449900,GAS,835
9620,East Flanders,HOUSE,3,1963,240000,FUELOIL,650
9700,East Flanders,HOUSE,4,1935,285000,GAS,833
9300,East Flanders,HOUSE,3,1948,265000,GAS,301
9451,East Flanders,HOUSE,2,1957,212000,GAS,112
9690,East Flanders,HOUSE,3,2022,336387,GAS,360
9500,East Flanders,HOUSE,3,1900,348000,GAS,1585
9550,East Flanders,HOUSE,5,2012,409000,GAS,503
9880,East Flanders,HOUSE,4,1964,325000,FUELOIL,673
9300,East Flanders,HOUSE,3,1966,240000,GAS,203
9140,East Flanders,HOUSE,3,1959,259000,FUELOIL,220
9190,East Flanders,HOUSE,3,2022,456000,GAS,445
9300,East Flanders,HOUSE,5,1995,798750,GAS,952
9890,East Flanders,HOUSE,3,1978,545000,FUELOIL,1050
9660,East Flanders,HOUSE,4,1954,415000,ELECTRIC,412
9500,East Flanders,HOUSE,3,1961,219000,GAS,242
9700,East Flanders,HOUSE,9,1922,359000,FUELOIL,1608
9000,East Flanders,HOUSE,4,1850,595000,GAS,298
9240,East Flanders,HOUSE,5,1943,325000,GAS,242
9240,East Flanders,HOUSE,6,1952,598000,GAS,311
9260,East Flanders,HOUSE,4,1979,1950000,FUELOIL,108070
9520,East Flanders,HOUSE,4,1961,274000,CARBON,672
9600,East Flanders,HOUSE,3,2006,249000,GAS,247
9100,East Flanders,HOUSE,3,1958,184000,GAS,325
9160,East Flanders,HOUSE,6,1976,439000,ELECTRIC,593
9308,East Flanders,HOUSE,2,1969,289000,GAS,370
9200,East Flanders,HOUSE,5,1974,435000,GAS,857
9810,East Flanders,HOUSE,2,1997,475000,GAS,1000
9300,East Flanders,HOUSE,3,1973,295000,GAS,288
9120,East Flanders,HOUSE,3,1975,420000,ELECTRIC,559
9600,East Flanders,HOUSE,3,1958,245000,GAS,169
9170,East Flanders,HOUSE,3,1985,229000,GAS,180
9870,East Flanders,HOUSE,2,1959,255000,FUELOIL,514
9630,East Flanders,HOUSE,4,2022,495000,ELECTRIC,144
9120,East Flanders,HOUSE,3,1931,215000,ELECTRIC,161
9910,East Flanders,HOUSE,3,2022,380000,GAS,576
9820,East Flanders,HOUSE,5,1997,675000,GAS,1153
9300,East Flanders,HOUSE,3,1930,189000,GAS,320
9451,East Flanders,HOUSE,4,1992,490000,FUELOIL,731
9630,East Flanders,HOUSE,3,1979,465000,GAS,1442
9300,East Flanders,HOUSE,3,1975,299500,FUELOIL,293
9600,East Flanders,HOUSE,3,1975,239000,FUELOIL,322
9400,East Flanders,HOUSE,3,1977,395000,GAS,895
9600,East Flanders,HOUSE,4,1921,329000,GAS,300
9090,East Flanders,HOUSE,4,2016,995000,GAS,551
9051,East Flanders,HOUSE,2,1995,125000,ELECTRIC,6588
9570,East Flanders,HOUSE,4,1941,329000,FUELOIL,898
9400,East Flanders,HOUSE,3,1959,335000,FUELOIL,502
9971,East Flanders,HOUSE,2,1930,253000,GAS,336
9820,East Flanders,HOUSE,2,1989,695000,FUELOIL,3000
9300,East Flanders,HOUSE,2,1983,180000,GAS,89
9130,East Flanders,HOUSE,3,1939,275000,FUELOIL,410
9971,East Flanders,HOUSE,3,1954,319000,GAS,447
9520,East Flanders,HOUSE,3,1963,179000,GAS,488
9990,East Flanders,HOUSE,3,2004,315000,GAS,143
9600,East Flanders,HOUSE,4,1930,239000,FUELOIL,190
9240,East Flanders,HOUSE,2,1899,260000,FUELOIL,350
9100,East Flanders,HOUSE,3,1933,255000,GAS,300
9300,East Flanders,HOUSE,4,1960,249000,GAS,167
9620,East Flanders,HOUSE,4,1969,264900,FUELOIL,514
9500,East Flanders,HOUSE,6,1994,777000,FUELOIL,2650
9320,East Flanders,HOUSE,3,1945,275000,GAS,299
9950,East Flanders,HOUSE,3,2022,399000,GAS,294
9630,East Flanders,HOUSE,3,1951,435000,GAS,385
9031,East Flanders,HOUSE,3,1930,185000,GAS,183
9700,East Flanders,HOUSE,3,2022,295000,GAS,91
9300,East Flanders,HOUSE,4,1961,349000,GAS,265
9000,East Flanders,HOUSE,4,1952,850000,FUELOIL,1660
9520,East Flanders,HOUSE,4,1964,229000,ELECTRIC,323
9680,East Flanders,HOUSE,4,1850,750000,FUELOIL,4200
9255,East Flanders,HOUSE,3,1963,399000,GAS,1126
9030,East Flanders,HOUSE,3,1968,369000,GAS,197
9400,East Flanders,HOUSE,4,1960,328000,FUELOIL,816
9840,East Flanders,HOUSE,3,1970,458000,FUELOIL,896
9255,East Flanders,HOUSE,3,1946,359000,GAS,821
9840,East Flanders,HOUSE,3,1957,650000,FUELOIL,2127
9800,East Flanders,HOUSE,3,1987,250000,GAS,190
9500,East Flanders,HOUSE,4,1954,415000,ELECTRIC,412
9506,East Flanders,HOUSE,4,1961,415000,ELECTRIC,721
9120,East Flanders,HOUSE,3,1958,350000,GAS,398
9700,East Flanders,HOUSE,3,1963,249000,GAS,720
9070,East Flanders,HOUSE,3,1977,360000,FUELOIL,382
9280,East Flanders,HOUSE,3,1955,260000,FUELOIL,238
9140,East Flanders,HOUSE,4,2013,400000,GAS,200
9961,East Flanders,HOUSE,3,1997,379000,ELECTRIC,1065
9700,East Flanders,HOUSE,5,1980,475000,FUELOIL,1050
9473,East Flanders,HOUSE,3,1930,290000,GAS,745
9968,East Flanders,HOUSE,3,1970,495000,FUELOIL,1250
9200,East Flanders,HOUSE,5,1995,495000,FUELOIL,881
9100,East Flanders,HOUSE,3,1934,357000,GAS,325
9880,East Flanders,HOUSE,4,2005,331900,GAS,157
9200,East Flanders,HOUSE,1,1932,249900,GAS,348
9450,East Flanders,HOUSE,3,1998,695000,FUELOIL,890
9190,East Flanders,HOUSE,3,2022,449000,GAS,445
9000,East Flanders,HOUSE,5,1850,595000,GAS,120
9300,East Flanders,HOUSE,4,1972,645000,FUELOIL,11316
9990,East Flanders,HOUSE,5,1960,695000,GAS,442
9150,East Flanders,HOUSE,2,1992,510000,ELECTRIC,873
9700,East Flanders,HOUSE,3,1950,375000,GAS,1228
9400,East Flanders,HOUSE,4,1961,339000,FUELOIL,505
9300,East Flanders,HOUSE,3,1899,265000,GAS,250
9820,East Flanders,HOUSE,2,1976,399000,ELECTRIC,874
9280,East Flanders,HOUSE,5,1931,285000,GAS,1249
9470,East Flanders,HOUSE,5,2000,455000,GAS,802
9300,East Flanders,HOUSE,3,1930,299000,GAS,140
9240,East Flanders,HOUSE,4,1956,399000,GAS,404
9400,East Flanders,HOUSE,3,1969,325000,FUELOIL,374
9120,East Flanders,HOUSE,5,1961,349999,GAS,451
9250,East Flanders,HOUSE,4,2008,1935000,FUELOIL,2970
9500,East Flanders,HOUSE,4,1945,239000,FUELOIL,1323
9870,East Flanders,HOUSE,2,1965,265000,FUELOIL,620
9300,East Flanders,HOUSE,2,1930,175000,GAS,301
9700,East Flanders,HOUSE,3,2022,313000,GAS,178
9500,East Flanders,HOUSE,4,1977,525000,GAS,223
9185,East Flanders,HOUSE,3,2007,1145000,FUELOIL,7678
9340,East Flanders,HOUSE,3,1925,149000,GAS,65
9550,East Flanders,HOUSE,5,1958,539000,GAS,400
9160,East Flanders,HOUSE,4,1954,319000,GAS,142
9050,East Flanders,HOUSE,5,1956,330000,ELECTRIC,86
9550,East Flanders,HOUSE,3,1961,320000,GAS,286
9300,East Flanders,HOUSE,4,1969,619000,FUELOIL,1283
9300,East Flanders,HOUSE,4,1980,335000,GAS,91
9230,East Flanders,HOUSE,3,1979,329000,GAS,944
9750,East Flanders,HOUSE,2,1980,370000,FUELOIL,773
9230,East Flanders,HOUSE,3,2019,429000,GAS,292
9900,East Flanders,HOUSE,5,1963,795000,GAS,2881
9880,East Flanders,HOUSE,5,2007,629000,GAS,841
9190,East Flanders,HOUSE,3,1963,298000,GAS,760
9130,East Flanders,HOUSE,3,1933,495000,FUELOIL,9360
9880,East Flanders,HOUSE,3,2007,315000,GAS,126
9280,East Flanders,HOUSE,2,1966,395000,GAS,10000
9100,East Flanders,HOUSE,4,1983,379000,GAS,120
9400,East Flanders,HOUSE,3,1960,365000,GAS,707
9506,East Flanders,HOUSE,1,1938,195000,GAS,122
9200,East Flanders,HOUSE,5,1955,328000,GAS,267
9150,East Flanders,HOUSE,3,1978,469000,GAS,1075
9870,East Flanders,HOUSE,3,1956,299000,FUELOIL,673
9400,East Flanders,HOUSE,4,1919,285000,GAS,196
9190,East Flanders,HOUSE,4,1935,259900,PELLET,171
9600,East Flanders,HOUSE,4,1930,199000,FUELOIL,190
9308,East Flanders,HOUSE,3,1975,435000,FUELOIL,857
9100,East Flanders,HOUSE,2,1940,149000,GAS,70
9400,East Flanders,HOUSE,3,1965,315000,FUELOIL,371
9240,East Flanders,HOUSE,3,1963,225000,FUELOIL,294
9700,East Flanders,HOUSE,4,1957,430000,GAS,318
9100,East Flanders,HOUSE,3,1899,340000,GAS,260
9032,East Flanders,HOUSE,3,1966,345000,GAS,132
9050,East Flanders,HOUSE,3,1990,580000,GAS,1059
9800,East Flanders,HOUSE,3,1966,345000,FUELOIL,424
9300,East Flanders,HOUSE,3,1978,255000,GAS,170
9255,East Flanders,HOUSE,4,1980,850000,FUELOIL,2830
9100,East Flanders,HOUSE,4,1958,375000,GAS,530
9500,East Flanders,HOUSE,2,1945,249000,GAS,1717
9240,East Flanders,HOUSE,14,2006,1245000,GAS,610
9500,East Flanders,HOUSE,3,2021,438206,GAS,725
9260,East Flanders,HOUSE,2,2001,299000,ELECTRIC,350
9100,East Flanders,HOUSE,2,1918,219000,GAS,100
9900,East Flanders,HOUSE,5,1979,945000,GAS,8467
9000,East Flanders,HOUSE,3,1900,725000,GAS,332
9910,East Flanders,HOUSE,3,1953,215000,GAS,790
9140,East Flanders,HOUSE,2,2005,549000,GAS,121
9060,East Flanders,HOUSE,3,1900,389500,GAS,1807
9500,East Flanders,HOUSE,3,1989,500000,GAS,5970
9200,East Flanders,HOUSE,6,2000,795000,FUELOIL,2000
9890,East Flanders,HOUSE,3,2006,375000,GAS,134
9140,East Flanders,HOUSE,4,1930,287000,GAS,580
9500,East Flanders,HOUSE,3,1951,219000,FUELOIL,353
9111,East Flanders,HOUSE,4,1970,375000,FUELOIL,480
9100,East Flanders,HOUSE,3,1935,175000,GAS,150
9400,East Flanders,HOUSE,3,1957,249000,GAS,167
9100,East Flanders,HOUSE,4,2023,543000,GAS,1105
9660,East Flanders,HOUSE,3,2022,349500,GAS,289
9300,East Flanders,HOUSE,4,1867,210000,PELLET,70
9255,East Flanders,HOUSE,2,1930,125000,FUELOIL,211
9961,East Flanders,HOUSE,4,1976,300000,FUELOIL,518
9060,East Flanders,HOUSE,3,1928,335000,GAS,393
9600,East Flanders,HOUSE,4,1940,255000,GAS,203
9250,East Flanders,HOUSE,3,1989,1495000,FUELOIL,4083
9840,East Flanders,HOUSE,2,1868,1050000,FUELOIL,4529
9450,East Flanders,HOUSE,4,2013,430000,GAS,485
9470,East Flanders,HOUSE,3,1993,345000,FUELOIL,234
9880,East Flanders,HOUSE,3,1971,325000,GAS,591
9260,East Flanders,HOUSE,3,1930,239000,GAS,1074
9400,East Flanders,HOUSE,3,1910,249000,GAS,152
9810,East Flanders,HOUSE,4,1938,495000,FUELOIL,796
9400,East Flanders,HOUSE,2,1976,695000,GAS,4650
9500,East Flanders,HOUSE,5,1988,429000,FUELOIL,696
9300,East Flanders,HOUSE,4,1936,299000,GAS,790
9620,East Flanders,HOUSE,3,1933,250000,GAS,3003
9190,East Flanders,HOUSE,4,1973,330000,GAS,788
9700,East Flanders,HOUSE,2,1936,192000,GAS,170
9600,East Flanders,HOUSE,5,1900,305000,GAS,1195
9000,East Flanders,HOUSE,3,1900,224500,GAS,55
9600,East Flanders,HOUSE,3,1979,475000,GAS,1278
9310,East Flanders,HOUSE,4,1993,298000,GAS,367
9000,East Flanders,HOUSE,4,1899,298000,GAS,82
9300,East Flanders,HOUSE,4,1957,229000,GAS,158
9070,East Flanders,HOUSE,3,1948,335000,GAS,291
9820,East Flanders,HOUSE,4,1958,865000,GAS,641
9040,East Flanders,HOUSE,4,1955,395000,GAS,125
9185,East Flanders,HOUSE,3,1971,225000,FUELOIL,151
9500,East Flanders,HOUSE,7,1950,299000,GAS,152
9280,East Flanders,HOUSE,4,1992,464000,ELECTRIC,874
9700,East Flanders,HOUSE,3,1951,195000,FUELOIL,668
9300,East Flanders,HOUSE,2,1930,255000,FUELOIL,186
9300,East Flanders,HOUSE,4,1918,255000,GAS,78
9120,East Flanders,HOUSE,3,1970,365000,GAS,272
9050,East Flanders,HOUSE,2,1935,299000,GAS,90
9500,East Flanders,HOUSE,3,1930,188000,PELLET,220
9140,East Flanders,HOUSE,4,1974,399000,GAS,1109
9900,East Flanders,HOUSE,3,1968,410000,GAS,2130
9890,East Flanders,HOUSE,5,1899,295000,GAS,329
9840,East Flanders,HOUSE,6,1968,550000,GAS,666
9180,East Flanders,HOUSE,3,2000,365000,ELECTRIC,624
9255,East Flanders,HOUSE,3,2002,399000,ELECTRIC,588
9100,East Flanders,HOUSE,3,1958,420000,GAS,442
9450,East Flanders,HOUSE,2,1957,212000,GAS,112
9690,East Flanders,HOUSE,3,1850,595000,FUELOIL,11210
9630,East Flanders,HOUSE,3,1890,699000,GAS,2619
9160,East Flanders,HOUSE,5,1941,395000,FUELOIL,387
9300,East Flanders,HOUSE,2,1930,264000,GAS,166
9991,East Flanders,HOUSE,5,1998,849000,GAS,1751
9140,East Flanders,HOUSE,3,2009,465000,GAS,427
9030,East Flanders,HOUSE,4,2022,425250,GAS,160
9200,East Flanders,HOUSE,2,1930,269000,GAS,400
9000,East Flanders,HOUSE,3,2020,589000,GAS,150
9700,East Flanders,HOUSE,3,2022,517677,GAS,1250
9620,East Flanders,HOUSE,3,1962,295000,GAS,270
9150,East Flanders,HOUSE,2,2014,299000,GAS,100
9120,East Flanders,HOUSE,5,1972,685000,FUELOIL,1537
9310,East Flanders,HOUSE,2,1932,185000,GAS,245
9400,East Flanders,HOUSE,3,2022,502587,ELECTRIC,458
9700,East Flanders,HOUSE,3,2022,300000,GAS,202
9960,East Flanders,HOUSE,3,1951,230000,GAS,193
9290,East Flanders,HOUSE,4,2012,535000,GAS,498
9180,East Flanders,HOUSE,3,2022,475000,GAS,464
9220,East Flanders,HOUSE,2,1974,325000,GAS,365
9140,East Flanders,HOUSE,3,1954,159000,GAS,140
9750,East Flanders,HOUSE,3,2022,415087,GAS,1856
