zip,province,building_type,bedroom,construction_Year,price,heating_type,land_surface
2920,Antwerp,HOUSE,4,1973,649000,FUELOIL,5000
2450,Antwerp,HOUSE,3,2022,319000,GAS,252
2450,Antwerp,HOUSE,3,2022,318000,GAS,270
2000,Antwerp,HOUSE,8,1907,3100000,GAS,145
2170,Antwerp,HOUSE,8,1919,595000,GAS,124
2660,Antwerp,HOUSE,3,1967,385000,GAS,304
2300,Antwerp,HOUSE,3,1905,329000,GAS,197
2470,Antwerp,HOUSE,3,1960,415000,GAS,493
2830,Antwerp,HOUSE,4,1977,415000,GAS,405
2400,Antwerp,HOUSE,3,2021,398000,GAS,504
2300,Antwerp,HOUSE,3,2022,422100,GAS,330
2221,Antwerp,HOUSE,1,2002,384000,FUELOIL,722
2630,Antwerp,HOUSE,3,1954,445000,FUELOIL,970
2900,Antwerp,HOUSE,4,1952,519900,FUELOIL,263
2020,Antwerp,HOUSE,5,1980,745000,GAS,455
2812,Antwerp,HOUSE,3,1952,385000,GAS,216
2460,Antwerp,HOUSE,3,2018,445000,GAS,305
2660,Antwerp,HOUSE,3,1919,289000,GAS,150
2431,Antwerp,HOUSE,3,2022,370000,GAS,648
2950,Antwerp,HOUSE,3,1967,365000,GAS,266
2800,Antwerp,HOUSE,2,1930,268000,GAS,240
2060,Antwerp,HOUSE,3,1890,499000,GAS,87
2110,Antwerp,HOUSE,3,1936,229900,GAS,291
2240,Antwerp,HOUSE,3,1993,499000,GAS,1465
2382,Antwerp,HOUSE,4,1994,1350000,GAS,12538
2880,Antwerp,HOUSE,3,1975,219000,FUELOIL,304
2340,Antwerp,HOUSE,3,1992,409000,GAS,682
2930,Antwerp,HOUSE,7,1931,1700000,GAS,3110
2860,Antwerp,HOUSE,3,1962,380000,FUELOIL,750
2350,Antwerp,HOUSE,3,1965,325000,GAS,1831
2270,Antwerp,HOUSE,5,1982,460000,GAS,1488
2000,Antwerp,HOUSE,4,1916,2575000,GAS,400
2230,Antwerp,HOUSE,4,2023,478250,GAS,866
2860,Antwerp,HOUSE,5,1980,495000,ELECTRIC,2337
2470,Antwerp,HOUSE,3,2008,299000,GAS,381
2640,Antwerp,HOUSE,3,1962,399000,GAS,320
2920,Antwerp,HOUSE,3,1959,397000,GAS,346
2930,Antwerp,HOUSE,5,1936,3250000,GAS,10431
2340,Antwerp,HOUSE,3,1977,359000,FUELOIL,525
2930,Antwerp,HOUSE,5,1990,740000,GAS,798
2500,Antwerp,HOUSE,3,1875,225000,GAS,209
2880,Antwerp,HOUSE,3,1967,860000,FUELOIL,4366
2800,Antwerp,HOUSE,2,1860,212000,ELECTRIC,60
2060,Antwerp,HOUSE,2,1899,195000,GAS,135
2800,Antwerp,HOUSE,3,1961,335000,GAS,676
2630,Antwerp,HOUSE,3,1985,364000,GAS,174
2812,Antwerp,HOUSE,3,1995,475000,GAS,792
2460,Antwerp,HOUSE,3,1960,317000,GAS,289
2900,Antwerp,HOUSE,2,1961,1075000,GAS,450
2170,Antwerp,HOUSE,3,1963,269000,GAS,203
2640,Antwerp,HOUSE,3,1949,379000,GAS,220
2221,Antwerp,HOUSE,4,1949,370000,GAS,705
2200,Antwerp,HOUSE,3,1930,349000,GAS,178
2600,Antwerp,HOUSE,8,1912,2350000,GAS,352
2650,Antwerp,HOUSE,4,1957,484000,GAS,200
2430,Antwerp,HOUSE,4,1996,639000,GAS,2773
2640,Antwerp,HOUSE,3,1998,430000,GAS,182
2570,Antwerp,HOUSE,5,1972,880000,FUELOIL,900
2270,Antwerp,HOUSE,2,1987,309000,GAS,173
2900,Antwerp,HOUSE,5,2013,1585000,GAS,2200
2350,Antwerp,HOUSE,3,1979,565000,FUELOIL,1423
2170,Antwerp,HOUSE,3,1930,320000,GAS,236
2620,Antwerp,HOUSE,3,1972,335000,GAS,210
2610,Antwerp,HOUSE,4,1994,499000,ELECTRIC,427
2150,Antwerp,HOUSE,4,1999,475000,GAS,350
2610,Antwerp,HOUSE,3,1936,269000,GAS,175
2830,Antwerp,HOUSE,3,2023,454500,GAS,348
2890,Antwerp,HOUSE,3,1956,199000,ELECTRIC,136
2660,Antwerp,HOUSE,3,1947,295000,GAS,102
2431,Antwerp,HOUSE,3,2022,370000,GAS,561
