Unnamed: 0,classified_id,classified_type,classified_price,classified_zip,classified_kitchen_type,classified_building_constructionYear,classified_building_condition,classified_energy_heatingType,classified_certificates_primaryEnergyConsumptionLevel,classified_bedroom_count,classified_land_surface,classified_outdoor_terrace_exists,customer_id
10358,10108358.0,apartment,310000,1410.0,usasemiequipped,1973.0,tobedoneup,fueloil,205.0,2.0,0.0,True,9368.0
10360,10046728.0,apartment,320000,2060.0,installed,0.0,justrenovated,gas,169.0,1.0,0.0,True,3317799.0
10363,9888648.0,apartment,349000,1080.0,installed,0.0,tobedoneup,gas,155.0,3.0,0.0,True,3851699.0
10365,10019924.0,apartment,350000,1420.0,0,0.0,good,fueloil,0.0,2.0,0.0,0,1790430.0
10367,10158332.0,house,249000,8792.0,semiequipped,0.0,good,gas,427.0,3.0,516.0,0,2289068.0
10370,10094199.0,house,159000,2620.0,installed,1972.0,good,gas,338.0,3.0,69.0,0,1274842.0
10373,10158302.0,apartment,230000,2018.0,installed,2018.0,asnew,gas,77.0,1.0,0.0,True,2246999.0
10375,10109130.0,apartment,355000,9000.0,0,0.0,asnew,gas,0.0,1.0,0.0,True,1890498.0
10377,9801513.0,apartment,365000,1420.0,installed,2010.0,asnew,gas,206.0,2.0,0.0,True,1503.0
10379,10045318.0,apartment,390000,8200.0,hyperequipped,0.0,asnew,gas,302.0,3.0,0.0,True,2142819.0
10382,10007691.0,apartment,395900,2930.0,installed,0.0,justrenovated,gas,118.0,2.0,0.0,True,23235.0
10383,10103694.0,apartment,396000,1080.0,0,0.0,good,gas,70.0,3.0,0.0,0,2669808.0
10386,10007690.0,apartment,405900,2930.0,installed,0.0,justrenovated,gas,136.0,2.0,0.0,True,23235.0
10387,10043443.0,apartment,425000,8300.0,0,2015.0,asnew,gas,0.0,2.0,0.0,0,1759503.0
10390,10088886.0,apartment,448000,1180.0,hyperequipped,0.0,asnew,gas,329.0,3.0,0.0,True,3046939.0
10393,9826190.0,apartment,475000,7034.0,usahyperequipped,0.0,good,gas,105.0,4.0,0.0,True,3853972.0
